Reference_ID,Reference_Source,Authors,Year_published,Title,Source,Volume,First_page,Last_page,N_pages,SUDOCS,N_sites
Strauss2008,Web of Science,W. Maartin Strauss; Moayyad Sher Shah; Mohammed Shobrak,2008,Rodent trapping in the Saja / Umm Ar-Rinth Protected Area in Saudi Arabia using two different trap types,Zoology in the Middle East,43,31,39,9,NULL,1
Sullivan2000,JSTOR,Thomas P. Sullivan; Druscilla S. Sullivan; and Pontus M.F. Lindgren,2000,Small mammals and stand structure in young pine; seed-tree and old-growth forest; southwest Canada,Ecological Applications,10,1367,1383,17,NULL,3
Szaro1987,US Gov Pubs,Robert C. Szaro and Scott C. Belfit,1987,Small mammal use of a desert riparian island and its adjacent scrub habitat,USDA; Forest Service; Rocky Mountain Forest and Range Experiment Station; Research Note RM-473,NULL,NULL,NULL,6,A 13.79:RM 473,4
Taylor2001,UMI,Jimmy Dale Taylor II,2001,Dynamics of amphibian; avian; and small mammal diversity on Department of Defense land in east-central Mississippi,Mississippi State University,NULL,1,216,216,NULL,3
Thomas2006,UMI,Kelly Jo Thomas,2006,Vegetation and small mammals of the Mojave Desert mountains,University of California Los Angeles,NULL,1,127,127,NULL,11
Thompson1982,Brown & Kurzius 1987,Steven D. Thompson,1982,Structure and species composition of desert heteromyid rodent species assemblages: Effects of a simple habitat manipulation,Ecology,63,1313,1321,9,NULL,1
Timm1975,Brown & Nicoletto 1991,Robert M. Timm,1975,Distribution; natural history; and parasites of mammals of Cook County; Minnesota,Occasional papers of the Bell Museum of Natural History,14,1,56,56,NULL,2
Townsend2004,UMI,Darrell Eugene Townsend II,2004,Ecological heterogeneity: Evaluating small mammal communities; soil surface temperature and artificial nest success within grassland ecosystems,Oklahoma State University,NULL,1,161,161,NULL,1
Trese2005,UMI,Colleen Alicia Trese,2005,A riverine riparian delineation model for forest types in northern lower Michigan,Michigan State University,NULL,1,151,151,NULL,6
Ulevicius2007,JSTOR,Alius Ulevi?ius and Martynas Janulaitis,2007,Abundance and species diversity of small mammals on beaver lodges,Ekologija,53,38,43,6,NULL,4
Utrera2000,BioOne,Antonio Utrera; Gloria Duno; Barbara A. Ellis; Rosa A. Salas; Nuris de Manzione; Charles F. Fulhorst; Robert B. Tesh; and James N. Mills,2000,Small mammals in agricultural areas of the western llanos of Venezuela: Community structure; habitat associations; and relatives densities,Journal of Mammalogy,81,536,548,13,NULL,4
